,orig_nq,reused_nq,active_nq,orig_ncx,sab,ru+sab,ru+mp+sab,ru+mp+rt,ha,fsqm
4gt11_83,5,2,3,14,0.0,0.0,0.0,0.0,,6.0
4gt11_84,4,1,3,9,0.0,0.0,0.0,0.0,,0.0
4gt13_92,5,0,5,30,0.0,0.0,0.0,0.0,,0.0
4mod5-bdd_287,7,3,4,31,3.0,0.0,0.0,0.0,,15.0
4mod5-v0_18,5,1,4,31,3.0,0.0,0.0,0.0,,21.0
4mod5-v0_19,5,2,3,16,0.0,0.0,0.0,0.0,,0.0
4mod5-v0_20,5,2,3,10,0.0,0.0,0.0,0.0,,0.0
4mod5-v1_22,5,2,3,11,0.0,0.0,0.0,0.0,,0.0
4mod5-v1_23,5,1,4,32,3.0,0.0,0.0,0.0,,18.0
4mod5-v1_24,5,1,4,16,0.0,0.0,0.0,0.0,,0.0
adder_n10,10,0,10,65,6.0,0.0,0.0,0.0,,
adder_n4,4,0,4,10,0.0,0.0,0.0,0.0,,
adr4_197,13,0,13,1498,1182.0,1029.0,1758.0,717.0,882.0,972.0
alu-bdd_288,7,2,5,38,24.0,15.0,6.0,6.0,,21.0
alu-v0_27,5,1,4,17,3.0,0.0,0.0,0.0,,3.0
alu-v0_27_example,5,1,4,17,3.0,0.0,0.0,0.0,,3.0
alu-v1_28,5,1,4,18,3.0,0.0,0.0,0.0,,3.0
alu-v1_29,5,1,4,17,3.0,0.0,0.0,0.0,,3.0
alu-v2_33,5,1,4,17,3.0,0.0,0.0,0.0,,3.0
alu-v3_34,5,1,4,24,3.0,0.0,0.0,0.0,,9.0
alu-v3_35,5,1,4,18,3.0,0.0,0.0,0.0,,3.0
alu-v4_37,5,1,4,18,3.0,0.0,0.0,0.0,,3.0
basis_change_n3,3,0,3,10,0.0,0.0,0.0,0.0,,
bell_n4,4,1,3,7,0.0,0.0,0.0,0.0,,
bv_n10,10,8,2,9,6.0,0.0,0.0,0.0,,9.0
cat_state_n22,22,20,2,21,,0.0,0.0,0.0,,
cat_state_n4,4,2,2,3,0.0,0.0,0.0,0.0,,
cc_n10,10,8,2,9,6.0,0.0,0.0,0.0,,9.0
cm152a_212,12,4,8,532,192.0,249.0,438.0,162.0,,180.0
cm42a_207,14,4,10,771,297.0,318.0,678.0,189.0,,366.0
cnt3-5_179,16,12,4,85,33.0,0.0,0.0,0.0,,18.0
cnt3-5_180,16,11,5,215,66.0,78.0,165.0,84.0,,102.0
co14_215,15,0,15,7840,7455.0,6891.0,12630.0,4386.0,6429.0,4737.0
cycle10_2_110,12,0,12,2648,1950.0,2067.0,3846.0,1386.0,1719.0,1536.0
dc2_222,15,1,14,4131,3390.0,3519.0,5691.0,2571.0,,2784.0
decod24-bdd_294,6,3,3,32,12.0,0.0,0.0,0.0,,12.0
decod24-v2_43,4,0,4,22,0.0,0.0,0.0,0.0,,0.0
deutsch_n2,2,0,2,1,0.0,0.0,0.0,0.0,,
dnn_n2,2,0,2,42,0.0,0.0,0.0,0.0,,
dnn_n8,8,0,8,192,0.0,0.0,0.0,0.0,,
ex1_226,6,4,2,5,0.0,0.0,0.0,0.0,,0.0
fredkin_n3,3,0,3,8,0.0,0.0,0.0,0.0,,
ghz_state_n23,23,21,2,22,,0.0,0.0,0.0,,
graycode6_47,6,4,2,5,0.0,0.0,0.0,0.0,,0.0
grover_n2,2,0,2,2,0.0,0.0,0.0,0.0,,
hhl_n7,7,0,7,196,18.0,18.0,24.0,18.0,,
hs4_n4,4,2,2,4,0.0,0.0,0.0,0.0,,
hwb9_119,10,0,10,90955,,,,,,50427.0
inc_237,16,2,14,4636,3225.0,3369.0,6255.0,2652.0,,2952.0
ising_model_10,10,0,10,90,0.0,0.0,0.0,0.0,0.0,0.0
ising_model_13,13,2,11,120,0.0,0.0,0.0,0.0,0.0,0.0
ising_model_16,16,5,11,150,0.0,0.0,0.0,0.0,0.0,0.0
ising_n10,10,0,10,90,0.0,0.0,0.0,0.0,,
ising_n26,26,22,4,50,,0.0,0.0,0.0,,
iswap_n2,2,0,2,2,0.0,0.0,0.0,0.0,,
knn_n25,25,22,3,96,,0.0,0.0,0.0,,
linearsolver_n3,3,0,3,4,0.0,0.0,0.0,0.0,,
lpn_n5,5,3,2,2,0.0,0.0,0.0,0.0,,
mini_alu_305,10,4,6,77,33.0,21.0,18.0,12.0,,60.0
misex1_241,15,0,15,2100,927.0,1050.0,2496.0,771.0,942.0,1065.0
mod5mils_65,5,2,3,16,0.0,0.0,0.0,0.0,,0.0
multiply_n13,13,4,9,43,18.0,12.0,15.0,12.0,,
pea_n5,5,0,5,42,3.0,3.0,3.0,3.0,,
pm1_249,14,4,10,771,324.0,318.0,672.0,183.0,,366.0
qaoa_n3,3,0,3,6,0.0,0.0,0.0,0.0,,
qaoa_n6,6,0,6,54,6.0,6.0,6.0,9.0,,
qec_en_n5,5,1,4,10,0.0,0.0,0.0,0.0,,
qft_10,10,0,10,90,30.0,33.0,30.0,27.0,36.0,39.0
qft_13,13,0,13,156,69.0,69.0,78.0,75.0,78.0,105.0
qft_16,16,0,16,240,135.0,135.0,189.0,156.0,174.0,147.0
qft_20,20,0,20,380,255.0,249.0,366.0,267.0,,423.0
qft_n4,4,0,4,12,0.0,0.0,0.0,0.0,,
qpe_n9,9,3,6,43,9.0,9.0,6.0,6.0,,
qram_n20,20,7,13,136,81.0,69.0,120.0,72.0,,
quantumwalks_n2,2,0,2,3,0.0,0.0,0.0,0.0,,
radd_250,13,1,12,1405,1143.0,1023.0,1851.0,813.0,840.0,897.0
rd32-v0_66,4,1,3,16,0.0,0.0,0.0,0.0,,6.0
rd32-v1_68,4,1,3,16,0.0,0.0,0.0,0.0,,6.0
rd53_138,8,3,5,60,33.0,21.0,18.0,12.0,,57.0
rd53_311,13,6,7,124,60.0,48.0,45.0,48.0,,69.0
rd73_140,10,5,5,104,60.0,45.0,33.0,24.0,,48.0
rd73_252,10,0,10,2319,1740.0,1710.0,3072.0,1326.0,1635.0,1320.0
rd84_142,15,8,7,154,111.0,57.0,90.0,39.0,,81.0
rd84_253,12,0,12,5960,5427.0,5670.0,8673.0,3501.0,3843.0,3774.0
simon_n6,6,3,3,14,0.0,0.0,0.0,0.0,,
sqn_258,10,0,10,4459,3282.0,3750.0,6042.0,2298.0,2712.0,2277.0
squar5_261,13,2,11,869,477.0,492.0,960.0,447.0,,483.0
square_root_7,15,0,15,3089,2262.0,2121.0,4458.0,1614.0,828.0,1512.0
swap_test_n25,25,22,3,96,,0.0,0.0,0.0,,
sym6_145,7,0,7,1701,1065.0,867.0,1896.0,765.0,786.0,606.0
sym6_316,14,8,6,123,63.0,45.0,57.0,24.0,,108.0
sym9_146,12,7,5,148,96.0,72.0,54.0,33.0,,108.0
sym9_193,11,0,11,15232,,,,,11553.0,9234.0
sys6-v0_111,10,4,6,98,63.0,39.0,33.0,24.0,,72.0
system9,12,5,7,150,90.0,81.0,93.0,54.0,,
teleportation_n3,3,1,2,2,0.0,0.0,0.0,0.0,,
test1,4,2,2,2,0.0,0.0,0.0,0.0,,
test2,4,2,2,2,0.0,0.0,0.0,0.0,,0.0
test3,5,2,3,5,0.0,0.0,0.0,0.0,,
toffoli_n3,3,0,3,6,0.0,0.0,0.0,0.0,,
urf4_187,11,0,11,224028,,,,,,119166.0
urf5_158,9,0,9,71932,,,,,,47079.0
variational_n4,4,1,3,16,0.0,0.0,0.0,0.0,,
vqe_n4,4,0,4,9,0.0,0.0,0.0,0.0,,
wstate_n27,27,23,4,52,,0.0,0.0,0.0,,
wstate_n3,3,0,3,9,0.0,0.0,0.0,0.0,,
z4_268,11,1,10,1343,1014.0,999.0,1707.0,672.0,801.0,651.0
