,orig_nq,reused_nq,active_nq,orig_ncx,min_cx,reused_nq_c,active_nq_c,min_cx_c
4gt11_83,5,2,3,14,0.0,2,3,0
4gt11_84,4,1,3,9,0.0,1,3,0
4gt13_92,5,0,5,30,0.0,0,5,0
4mod5-bdd_287,7,3,4,31,0.0,3,4,0
4mod5-v0_18,5,1,4,31,0.0,1,4,18
4mod5-v0_19,5,2,3,16,0.0,2,3,0
4mod5-v0_20,5,2,3,10,0.0,2,3,0
4mod5-v1_22,5,2,3,11,0.0,2,3,0
4mod5-v1_23,5,1,4,32,0.0,1,4,0
4mod5-v1_24,5,1,4,16,0.0,1,4,0
adder_n10,10,0,10,65,0.0,0,10,15
adder_n4,4,0,4,10,0.0,0,4,0
adr4_197,13,0,13,1498,717.0,0,13,1014
alu-bdd_288,7,2,5,38,6.0,2,5,27
alu-v0_27,5,1,4,17,0.0,1,4,0
alu-v0_27_example,5,1,4,17,0.0,1,4,0
alu-v1_28,5,1,4,18,0.0,1,4,0
alu-v1_29,5,1,4,17,0.0,1,4,3
alu-v2_33,5,1,4,17,0.0,1,4,3
alu-v3_34,5,1,4,24,0.0,1,4,3
alu-v3_35,5,1,4,18,0.0,1,4,12
alu-v4_37,5,1,4,18,0.0,1,4,3
basis_change_n3,3,0,3,10,0.0,0,3,0
bell_n4,4,1,3,7,0.0,1,3,0
bv_n10,10,8,2,9,0.0,8,2,0
cat_state_n22,22,20,2,21,0.0,0,22,
cat_state_n4,4,2,2,3,0.0,2,2,0
cc_n10,10,8,2,9,0.0,8,2,0
cm152a_212,12,4,8,532,162.0,4,8,261
cm42a_207,14,4,10,771,189.0,3,11,459
cnt3-5_179,16,12,4,85,0.0,10,6,21
cnt3-5_180,16,11,5,215,84.0,10,6,177
co14_215,15,0,15,7840,4386.0,0,15,7731
cycle10_2_110,12,0,12,2648,1386.0,0,12,2142
dc2_222,15,1,14,4131,2571.0,1,14,3960
decod24-bdd_294,6,3,3,32,0.0,2,4,36
decod24-v2_43,4,0,4,22,0.0,0,4,0
deutsch_n2,2,0,2,1,0.0,0,2,0
dnn_n2,2,0,2,42,0.0,0,2,0
dnn_n8,8,0,8,192,0.0,0,8,0
ex1_226,6,4,2,5,0.0,4,2,0
fredkin_n3,3,0,3,8,0.0,0,3,0
ghz_state_n23,23,21,2,22,0.0,0,23,
graycode6_47,6,4,2,5,0.0,3,3,0
grover_n2,2,0,2,2,0.0,0,2,0
hhl_n7,7,0,7,196,18.0,0,7,24
hs4_n4,4,2,2,4,0.0,2,2,0
hwb9_119,10,0,10,90955,,0,10,93039
inc_237,16,2,14,4636,2652.0,2,14,3213
ising_model_10,10,0,10,90,0.0,0,10,0
ising_model_13,13,2,11,120,0.0,2,11,0
ising_model_16,16,5,11,150,0.0,5,11,3
ising_n10,10,0,10,90,0.0,0,10,0
ising_n26,26,22,4,50,0.0,0,26,
iswap_n2,2,0,2,2,0.0,0,2,0
knn_n25,25,22,3,96,0.0,18,7,36
linearsolver_n3,3,0,3,4,0.0,0,3,0
lpn_n5,5,3,2,2,0.0,3,2,0
mini_alu_305,10,4,6,77,12.0,4,6,45
misex1_241,15,0,15,2100,771.0,0,15,1497
mod5mils_65,5,2,3,16,0.0,2,3,0
multiply_n13,13,4,9,43,12.0,5,8,21
pea_n5,5,0,5,42,3.0,0,5,3
pm1_249,14,4,10,771,183.0,3,11,471
qaoa_n3,3,0,3,6,0.0,0,3,0
qaoa_n6,6,0,6,54,9.0,0,6,9
qec_en_n5,5,1,4,10,0.0,1,4,0
qft_10,10,0,10,90,27.0,0,10,42
qft_13,13,0,13,156,75.0,0,13,84
qft_16,16,0,16,240,156.0,0,16,141
qft_20,20,0,20,380,267.0,0,20,270
qft_n4,4,0,4,12,0.0,0,4,0
qpe_n9,9,3,6,43,6.0,0,9,9
qram_n20,20,7,13,136,72.0,0,20,90
quantumwalks_n2,2,0,2,3,0.0,0,2,0
radd_250,13,1,12,1405,813.0,1,12,1179
rd32-v0_66,4,1,3,16,0.0,1,3,0
rd32-v1_68,4,1,3,16,0.0,1,3,0
rd53_138,8,3,5,60,12.0,2,6,42
rd53_311,13,6,7,124,48.0,5,8,33
rd73_140,10,5,5,104,24.0,5,5,39
rd73_252,10,0,10,2319,1326.0,0,10,1641
rd84_142,15,8,7,154,39.0,6,9,129
rd84_253,12,0,12,5960,3501.0,0,12,5409
simon_n6,6,3,3,14,0.0,0,6,0
sqn_258,10,0,10,4459,2298.0,0,10,3993
squar5_261,13,2,11,869,447.0,2,11,663
square_root_7,15,0,15,3089,1614.0,0,15,2082
swap_test_n25,25,22,3,96,0.0,17,8,69
sym6_145,7,0,7,1701,765.0,0,7,1449
sym6_316,14,8,6,123,24.0,7,7,90
sym9_146,12,7,5,148,33.0,7,5,111
sym9_193,11,0,11,15232,,0,11,16566
sys6-v0_111,10,4,6,98,24.0,3,7,51
system9,12,5,7,150,54.0,5,7,93
teleportation_n3,3,1,2,2,0.0,1,2,0
test1,4,2,2,2,0.0,2,2,0
test2,4,2,2,2,0.0,2,2,0
test3,5,2,3,5,0.0,2,3,0
toffoli_n3,3,0,3,6,0.0,0,3,0
urf4_187,11,0,11,224028,,0,11,174501
urf5_158,9,0,9,71932,,0,9,70665
variational_n4,4,1,3,16,0.0,1,3,0
vqe_n4,4,0,4,9,0.0,0,4,0
wstate_n27,27,23,4,52,0.0,0,27,
wstate_n3,3,0,3,9,0.0,0,3,0
z4_268,11,1,10,1343,672.0,1,10,1014
